A,d,i, ,J,a,f,f,e
C,.,R,., ,A,v,e,r,y
J,e,n,n,i,f,e,r, ,B,e,a,l,s
D,a,n, ,R,o,s,e,n,s,w,e,i,g
D,e,a,n, ,D,e,l, ,R,a,y
J,a,m,e,s, ,L,a,d,y,m,a,n
D,a,n, ,C,a,r,l,i,n
w,i,l,l,.,i,.,a,m
M,i,k,e, ,F,a,v,e,r,m,a,n
F,o,r,m,e,r, ,B,o,d,y,g,u,a,r,d, ,f,o,r, ,C,a,s,e,y, ,A,n,t,h,o,n,y, ,-, ,R,o,b, ,D,i,c,k
P,u,s,h,a, ,T
H,o,w, ,T,o, ,C,u,r,e, ,A,n,x,i,e,t,y
J,u,l,i,e,a,n,n,e, ,S,m,o,l,i,n,s,k,i
R,y,a,n, ,G,u,z,m,a,n
J,a,k,e, ,B,a,k,e,r
M,o,l,l,y, ,R,u,b,e,n,-,L,o,n,g
J,o,h,n, ,H,e,f,f,r,o,n
B,e,n,j,a,m,i,n, ,T,o,d,d
A,l,l,i,s,o,n, ,W,i,l,l,i,a,m,s
T,o,n,y, ,P,e,r,r,o,t,t,e,t
B,e,h,i,n,d, ,t,h,e, ,S,c,e,n,e,s
O,r,l,y, ,S,h,a,n,i
O,l,i,v,i,a, ,M,o,w,a,t,t
D,r,., ,A,r,t,h,u,r, ,D,e, ,V,a,n,y
a,u,t,h,o,r
B,o,b, ,L,e,f,s,e,t,z
B,r,u,c,e, ,D,a,m,e,r
M,i,c,h,e,l,e, ,M,o,r,r,o,w
D,a,v,i,d, ,D,a,s,t,m,a,l,c,h,i,a,n
I,n,t,e,r,n,a,t,i,o,n,a,l, ,F,i,g,h,t, ,W,e,e,k, ,R,e,c,a,p
C,h,r,i,s, ,C,u,o,m,o
C,o,l,d, ,W,a,r, ,K,i,d,s
T,h,e, ,R,i,n,g,e,r,',s, ,K,e,v,i,n, ,O,',C,o,n,n,o,r
M,i,c,h,a,e,l, ,R,o,s,e,n,b,a,u,m
J,e,a,n,n,e, ,G,a,n,g
M,a,t,t,y, ,R,y,a,n
A,n,a, ,K,a,s,p,a,r,i,a,n
A,d,r,i,a,n, ,I,a,p,a,l,u,c,c,i
I,l,i,z,a, ,S,h,l,e,s,i,n,g,e,r
M,e,g,h,a,n, ,T,r,a,i,n,o,r
E,d,d,i,t, ,I,f,f,t
R,o,l,l,i,n,g, ,S,o,l,o
J,u,l,i,a, ,S,o,l,i,s
J,e,f,f, ,P,e,m,b,e,r,t,o,n
J,o,n,a,t,h,a,n, ,C,o,h,n
B,r,i,t,t,a,n,y, ,S,n,o,w
S,c,o,t,t, ,S,h,a,r,p
D,a,v,i,d, ,X,., ,C,o,h,e,n
D,r,e,w, ,H,o,u,s,t,o,n
H,u,s,a,i,n, ,H,a,q,q,a,n,i
K,e,l,s,e,y
J,a,s,o,n, ,K,o,t,t,k,e
A,n,e,s,e, ,C,a,v,a,n,a,u,g,h
L,a,n,c,e, ,C,a,n,t,s,t,o,p,o,l,i,s
M,i,c,h,a,e,l, ,R,e,n,d,e,r
F,m,r,., ,R,e,p,., ,D,a,v,i,d, ,J,o,l,l,y
J,i,n,c,e,y, ,L,u,m,p,k,i,n
N,a,t,a,s,h,a, ,L,e,g,g,e,r,o
R,o,r,y, ,Z,a,c,h,e,r
M,e,d,i,t,a,t,i,o,n
C,a,k,e, ,B,o,s,s
T,o,m, ,N,i,c,h,o,l,s
J,a,y, ,W,a,s,h,i,n,g,t,o,n
C,h,r,i,s, ,E,u,b,a,n,k
P,o,r,t,u,g,a,l,., ,T,h,e, ,M,a,n
S,i,s,t,e,r, ,S,i,m,o,n,e, ,C,a,m,p,b,e,l,l
J,a,g,d,i,s,h, ,B,h,a,g,w,a,t,i
R,o,l,a,n,d, ,P,o,i,n,d,e,x,t,e,r
C,o,u,r,t,n,e,y, ,K,a,r,w,a,l
J,o,n, ,M,o,o,r,e
L,e,e, ,C,a,m,p
J,o,s,h, ,L,u,b,e,r
L,i,n,d,s,e,y, ,J,e,n,n,i,n,g,z
M,a,y,h,e,m, ,M,i,l,l,e,r
S,h,o,n,d,a, ,R,h,i,m,e,s
M,G, ,S,i,e,g,l,e,r
E,n,e,r,g,y, ,F,i,e,l,d,s,:
R,u,b,y, ,W,a,x
J,o,e, ,B,u,d,d,e,n
D,a,n,e, ,C,o,o,k
J,a,m,e,s, ,A,u,s,t,i,n, ,J,o,h,n,s,o,n
A,l,v,i,n, ,R,a,b,u,s,h,k,a
M,i,k,e, ,S,c,h,r,a,m,m
K,e,l,l,y, ,N,o,o,n,a,n, ,G,o,r,e,s
S,c,o,t,t, ,S,i,m,p,s,o,n
C,o,r,y, ,D,o,c,t,o,r,o,w
D,a,v,i,d, ,P,e,r,s,o,n
C,h,r,i,s,t,i,n,e, ,M,a,r,i,e, ,E,v,a,n,s
P,u,b,l,i,s,h,i,n,g, ,M,a,v,e,n, ,J,a,n,i,c,e, ,M,i,n
J,a,c,k,s,f,i,l,m,s
T,a,x,s,t,o,n,e
S,y,m,o,n,e, ,S,a,n,d,e,r,s
K,e,r,r,y, ,C,o,d,d,e,t,t
J,a,n,i,n,a, ,G,a,v,a,n,k,a,r
S,c,o,t,t, ,N,e,l,s,o,n
A,l,l,a,n, ,A,r,k,u,s,h
M,i,k,e, ,F,i,n,n,i,g,a,n
M,i,t,c,h, ,S,c,h,u,l,t,z
J,a,i, ,U,t,t,a,l
E,v,a,n, ,P,a,l,m,e,r
M,i,r,a,b,a,i, ,S,t,a,r,r
T,o,d,r,i,c,k, ,H,a,l,l
F,u,n,F,o,r,L,o,u,i,s
B,u,r,t, ,R,e,y,n,o,l,d,s
J,u,s,t,i,n, ,v,o,n, ,B,u,j,d,o,s,s
T,h,o,m,a,s, ,F,r,i,e,d,m,a,n
O,c,t,a,v,i,a, ,S,p,e,n,c,e,r
N,i,c,k, ,O,f,f,e,r,m,a,n
J,o,h,n, ,H,a,r,k,n,e,s,s
M,a,r,t,i,n, ,S,h,o,r,t
S,u,n,e,e, ,D,h,a,l,i,w,a,l
M,i,c,h,a,e,l, ,G,a,l,l,a,g,h,e,r
D,o,n,o,v,a,n, ,P,e,e
M,i,c,h,a,e,l, ,W,., ,T,a,f,t
W,i,m, ,H,o,f
J,o,a,n,n,a, ,J,e,d,r,z,e,j,c,z,y,k
L,a,n,c,e, ,P,a,t,r,i,c,k
C,a,s,e,y, ,W,i,l,s,o,n
H,a,r,m,o,n, ,L,e,o,n
G,e,o,r,g,e, ,N,o,o,r,y
K,i,r,k, ,S,m,i,t,h
D,a,r,r,e,n, ,C,a,r,t,e,r
J,i,m, ,S,a,n,t,a,n,g,e,l,i
R,o,b,i,n, ,S,h,o,r,r
E,d,g,a,r, ,M,o,m,p,l,a,i,s,i,r
M,a,r,i,a, ,F,e,l,i,p,e
K,r,i,s,t,i,n, ,C,l,i,f,f,o,r,d
E,t,h,a,n, ,K,l,e,i,n
S,a,m, ,S,e,e
D,J, ,M,u,s,t,a,r,d
N,a,t,h,a,n,i,e,l, ,F,r,a,n,k
G,a,r,y, ,C,a,n,n,o,n
M,a,t,t,h,e,w, ,M,c,C,o,n,a,u,g,h,e,y
S,h,a,h, ,S,e,l,b,e
T,a,-,N,e,h,i,s,i, ,C,o,a,t,e,s
Z,a,c,h,e,r,y, ,T,y, ,B,r,y,a,n
N,i,c,k, ,F,r,o,s,t
M,o,t,h,e,r, ,K,a,l,i
A,z,i,z, ,A,n,s,a,r,i
F,r,a,n,k, ,O,s,t,a,s,e,s,k,i
K,r,i,s,t,e,n, ,M,c,A,t,e,e
C,y,r,i,a,c, ,R,o,e,d,i,n,g
J,a,c,k, ,B,u,r,d,i,t,t
D,a,v,e, ,S,t,o,n,e
S,t,e,v,e, ,S,i,l,b,e,r,m,a,n
L,e,a,h, ,T,i,s,c,i,o,n,e
S,a,l, ,V,u,l,c,a,n,o
J,u,d,y, ,B,l,u,m,e
J,a,r,o,n, ,L,a,n,i,e,r
D,a,n,i,e,l, ,R,a,d,c,l,i,f,f,e
L,a,c,e,y, ,N,e,w,m,a,n
V,a,l,e,n,t,i,n, ,C,h,m,e,r,k,o,v,s,k,i,y
B,a,r,n,e,s, ,B,r,o,s
K,e,l,l,y, ,H,e,n,n,i,g,a,n, ,M,a,c,N,i,v,e,n
S,e,t,h, ,P,e,r,r,y
J,a,s,o,n, ,S,c,h,w,a,r,t,z,m,a,n
S,t,e,v,e, ,G,i,l,l,e,s,p,i,e
N,a,t,e, ,S,i,l,v,e,r
J,u,a,n, ,R,u,i,z, ,N,a,u,p,a,r,i
D,r,e,w, ,S,p,e,a,r,s
A,n,d,r,e,w, ,M,i,c,h,a,a,n
A,l, ,R,a,m,a,d,a,n
A,m,y, ,M,a
B,r,a,d, ,K,a,t,s,u,y,a,m,a
J,i,m,m,i, ,S,i,m,p,s,o,n
M,i,k,e, ,K,o,m,a,n
R,o,s,e, ,N,a,m,a,j,u,n,a,s
"""",V,o,d,k,a,s,o,d,a,b,e,r,g,""""
K,e,l,l,i, ,D,u,n,h,a,m
N,i,c,k, ,O,r,t,n,e,r
C,a,t,e, ,B,l,a,n,c,h,e,t,t, ,M,o,v,i,e,s
A,m,i,t,y, ,S,h,l,a,e,s
M,i,c,k,e,y, ,G,a,l,l
A,r,i,e,l,l,e, ,N,o,r,m,a,n
C,h,r,i,s,t,i,e, ,T,o,d,d, ,W,h,i,t,m,a,n
D,o,u,g,l,a,s, ,A,l,e,x,a,n,d,e,r
S,o,c,i,a,l, ,R,e,p,o,s,e
D,r,., ,E,l,i,z,a,b,e,t,h, ,L,o,f,t,u,s
J,o,h,n, ,G,o,w,d,y
G,a,r,r,y, ,S,h,a,n,d,l,i,n,g
R,o,a,m,i,n,g, ,M,i,l,l,e,n,n,i,a,l
D,J, ,Y,e,l,l,a
N,a,r,i,k,o, ,O,t,t
J,u,l,i,a, ,S,w,e,e,n,e,y
C,l,a,r,e, ,M,u,k,h,e,r,j,e,e
M,i,k,e, ,M,a,r,i,n,o
R,o,g,e,r, ,L,a,w,s,o,n
B,e,n, ,F,o,l,d,s
C,h,u,c,k, ,W,a,t,s,o,n
K,a,r,e,e,m, ,M,a,t,t,h,e,w,s
A,l,m,o,s,t, ,D,r,., ,K,e,v,i,n, ,S,o,u,s,a
M,C, ,C,h,r,i,s
I,g,g,y, ,A,z,a,l,e,a
B,r,i,a,n, ,S,c,h,o,e,n,b,a,u,m
S,a,r,a,h, ,L,e,h,m,a,n,n
J,a,s,o,n, ,S,t,i,r,m,a,n
G,i,l,b,e,r,t, ,L,a,w,a,n,d
Z,a,c,k, ,W,i,e,n,e,r,s,m,i,t,h
T,o,m, ,S,t,e,v,e,n,s
I,r,e,n,e, ,T,u
J,o,h,n, ,C,h,a,m,p,i,o,n
S,t,e,v,e, ,C,a,r,l,i,n
G,i,n,a, ,P,r,i,n,c,e,-,B,y,t,h,e,w,o,o,d
B,o,b,b,y, ,M,i,y,a,m,o,t,o
B,i,l,l, ,W,e,l,d
H,a,t,e,m, ,G,a,b,r
S,t,e,v,e,n, ,J,o,h,n,s,o,n
K,e,n, ,A,n,d,e,r,s,o,n
H,a,n,s, ,N,o,e,l
P,u,n,s, ,N,', ,R,o,s,e,s
R,a,n,d,y, ,H,e,t,r,i,c,k
B,r,a,d, ,G,a,r,r,e,t,t
G,i,n,o
L,o,u,i,s, ,T,h,e,r,o,u,x
A,l,i,s,o,n, ,R,i,c,h
G,a,r,y, ,G,r,e,e,n,b,e,r,g
P,a,r,v,i,z, ,P,a,r,v,i,z,i
A,i,r,y, ,S,h,i,y,f,e,r
W,i,l,l,i,a,m, ,B,e,l,l
C,.,J,., ,T,o,l,e,d,a,n,o
N,i,n,a, ,A,n,s,a,r,o,f,f
R,h,e,t,t, ,R,e,e,s,e
J,a,k,e, ,C,a,r,p,e,n,t,e,r
M,e,g,a,R,a,n
N,B,A, ,T,V,’,s, ,T,a,s, ,M,e,l,a,s
K,e,v,i,n, ,S,m,i,t,h, ,2
F,e,m,m,e, ,F,o,r,c,e
C,o,n,n,i,e, ,C,h,u,n,g
P,h,i,l,i,p, ,P,i,l,k,i,n,g,t,o,n
L,i,n,d,a, ,H,o,l,m,e,s
B,r,a,n,d,i, ,R,e,d,m,o,n,d
D,e,v,i,n, ,F,a,r,a,c,i
R,o,s,h,i, ,J,o,a,n, ,H,a,l,i,f,a,x
T,o,n,y, ,M,o,s,s
J,e,s,s,i,c,a, ,R,i,c,h,m,a,n
H,a,l,l,e, ,T,e,c,c,o
B,r,a,n,d,o,n, ,M,o,r,s,e
R,o,r,y, ,M,a,c,d,o,n,a,l,d
J,a,i,m,a,l, ,Y,o,g,i,s
L,a,c,i,e, ,M,a,c,k,e,y
P,a,t, ,R,e,g,a,n
D,a,n,i,e,l, ,L,e,v,i,t,i,n
D,w,a,y,n,e, ,N, ,J,a,z,z
F,r,a,n,s, ,d,e, ,W,a,a,l
J,e,f,f, ,M,c,N,a,i,r,y
T,o,d,d
R,o,v,e, ,M,c,M,a,n,u,s,/,A,x,i,s
D,o,n,a,l,d, ,G,l,o,v,e,r
I,v,a,n,a, ,M,i,l,i,c
R,y,a,n, ,D,e,i,s,s
D,a,v,i,d, ,O,',D,o,h,e,r,t,y
D,a,v,i,d, ,R,u,b,e,n,s,t,e,i,n
M,e,h,c,a,d, ,B,r,o,o,k,s
E,n,s,o,n, ,I,n,o,u,e
M,i,k,e, ,Z
N,i,c,k, ,H,a,n,a,u,e,r
I,n,f,l,a,m,m,a,t,i,o,n,:
D,J, ,D,o,u,g,g,p,o,u,n,d
T,h,o,m,a,s, ,P,r,e,s,c,o,t,t
M,a,t,t,h,i,e,u, ,R,i,c,a,r,d
M,i,k,e, ,M,i,g,n,o,l,a
A,s,h,k,o,n, ,(,L,i,v,e, ,a,t, ,S,F, ,S,k,e,t,c,h,f,e,s,t,)
C,o,r,e,y, ,L,e,w,a,n,d,o,w,s,k,i
L,o,u,i,s,e, ,M,e,n,s,c,h
C,o,u,r,t,n,e,y, ,D,a,u,w,a,l,t,e,r
X,e,n,i, ,J,a,r,d,i,n
M,a,t,t, ,S,m,i,t,h
c,o,m,e,d,y
P,a,t,r,i,c,k, ,K,e,n,n,e,d,y
a,n,d, ,H,u,m,a,n,i,s,t, ,J,e,n,n,i,f,e,r, ,H,a,n,c,o,c,k
L,o,g,a,n, ,L,e,r,m,a,n
V,a,l, ,M,y,e,r,s
S,a,r,a,s,w,a,t,i
C,h,r,i,s,s,y, ,M,e,t,z
a, ,r,e,f,r,e,s,h,i,n,g, ,a,p,p,r,o,a,c,h, ,t,o, ,b,o,t,h, ,f,a,i,t,h
D,a,n,i,e,l, ,i,n, ,T,a,h,o,e
M,i,k,e, ,J,u,d,g,e
R,i,c,h,a,r,d, ,J,e,f,f,e,r,s,o,n
R,a,m, ,D,a,s,s
A,d,a,m, ,C,a,r,o,l,l,a
T,h,e, ,I,r,i,s,h, ,E,c,o,n,o,m,y, ,1,0,0, ,y,e,a,r,s
N,i,c,k, ,N,a,n,e,y
R,e,g,g,i,e, ,C,o,n,q,u,e,s,t
J,a,s,o,n, ,A,c,u,ñ,a, ,(,W,e,e, ,M,a,n,)
K, ,C,a,m,p
K,i,r,i,k, ,J,e,n,n,e,s,s
S,k,y, ,W,i,l,l,i,a,m,s
R,i,c,k,y, ,L,u,n,d,e,l,l
D,a,n, ,P,e,ñ,a
A,r,i,a,n, ,F,o,s,t,e,r
J,o,e,l, ,D,e,p,a,r,t,m,e,n,t
C,r,a,i,g
D,a,n,c,e
R,o,o,s,t,e,r, ,T,e,e,t,h
C,y,n,t,h,i,a, ,C,a,l,v,i,l,l,o
K,.,F,l,a,y
"""",t,h,a,t, ,g,u,y,""""
D,a,k,o,t,a, ,F,a,n,n,i,n,g
N,i,k,o,l,a,j, ,C,o,s,t,e,r,-,W,a,l,d,a,u
B,e,n, ,R,o,y
T,r,a,c,e,e, ,E,l,l,i,s, ,R,o,s,s
J,a,y, ,S,h,e,t,t,y
G,r,e,g, ,Z,u,c,k,e,r,m,a,n
B,o,t,c,h,e,d, ,S,u,r,g,e,o,n, ,D,r, ,T,e,r,r,y, ,D,u,b,r,o,w
A,n,d,r,e,e, ,V,e,r,m,e,u,l,e,n
P,e,t,e,r, ,S,i,n,g,e,r
J,e,r,e,m,y, ,S,t,u,a,r,t
E,l,i, ,B,r,a,d,e,n
A,l,i,s,o,n, ,B,e,c,k,e,r
D,a,v,i,d, ,T,h,o,r,p,e
T,o,m, ,S,n,y,d,e,r
G,a,l,e,n, ,B,r,o,a,d,d,u,s
S,a,r,a,h, ,M,o,r,e,h,e,a,d
K,a,t, ,R,o,s,e,n,f,i,e,l,d
G,o,v,., ,T,e,r,r,y, ,M,c,A,u,l,i,f,f,e
H,o,n,e,y, ,H,o,n,e,y
S,t,e,v,e, ,V,o,l,k
T,o,m, ,B,r,a,d,y
R,e,d,m,a,n
M,i,c,h,a,e,l, ,D,e,l,l
C,a,r,o,l,i,n,e, ,A,n,d,e,r,s,o,n
P,r,e,s,t,o,n, ,B,o,s,t
M,a,c, ,D,a,n,z,i,g
E,u,g,e,n,i,e, ,C,., ,S,c,o,t,t
E,r,i,n, ,M,c,g,a,t,h,y
S,a,m, ,W,a,s,s,o,n
M,a,t,t, ,W,a,l,k,e,r
S,t,e,p,h,e,n, ,O,',D,o,n,n,e,l,l
K,e,e,g,a,n,-,M,i,c,h,a,e,l, ,K,e,y
A,h,m,e,d, ,A,h,m,e,d
L,e,w,i,s, ,B,l,a,c,k
W,e,e,z,e,r,',s, ,R,i,v,e,r,s, ,C,u,o,m,o
M,i,d,o,r,i
V,i,c,t,o,r, ,G,a,r,b,e,r
A,n,d,y, ,S,a,n,d,f,o,r,d
R,y,a,n, ,N,i,c,o,d,e,m,u,s
M,i,c,k, ,E,b,e,l,i,n,g
A,d,a,m, ,R,o,d,r,i,g,u,e,z
J,a,m,e,s, ,V,i,c,k
A,n,t,h,o,n,y, ,P,a,d,i,l,l,a
G,a,b,r,i,e,l,l,e, ,U,n,i,o,n
A,d,a,m, ,P,e,r,k,i,n,s
C,l,a,r,e, ,O,',K,a,n,e
R,i,c,h,a,r,d, ,B,u,r,k,h,a,u,s,e,r
Z,i,h,n,i, ,Ö,z,d,i,l
J,o,e, ,B,a,t,a,a,n
N,B,A, ,T,V,',s, ,K,r,i,s,t,e,n, ,L,e,d,l,o,w
J,a,m,e,s, ,C,o,l,l,e,y
J,a,s,o,n, ,B,e,n,e,t,t,i
G,l,e,n,n, ,E,l,z,i,n,g,a, ,f,r,o,m, ,A,l,d,e,r,s,p,r,i,n,g, ,R,a,n,c,h
D,a,v,i,d, ,L,i,t,t
D,r,., ,S,a,m,i,r, ,C,h,a,c,h,o,u,a
C,o,n,n,e,r, ,H,a,b,b,i,b
C,o,n, ,O,p,e,r,a,t,i,v,e
B,e,l,l,e, ,o,f, ,t,h,e, ,F,a,l,l
C,l,a,m,s, ,C,a,s,i,n,o
F,r,a,n,k, ,B,r,u,n,i
E,l,l,i,o,t,t, ,W,i,l,s,o,n
L,e,s,l,i,e, ,O,d,o,m, ,J,r,.
D,e,e, ,R,e,e,s
C,h,r,i,s, ,C,a,g,e
D,r,., ,P,a,u,l, ,J,o,h,n,s,o,n
E,v,e, ,R,i,c,k,e,r,t
L,a,r,g,e, ,P,u,p,p,y
G,l,e,n, ,M,o,r,g,a,n
J,o,r,d,a,n, ,G,i,l,b,e,r,t
D,r,e,w, ,F,a,r,k
L,u,c,a,s, ,C,r,u,i,k,s,h,a,n,k
W,h,e,e,l, ,W,a,l,k,e,r, ,J,r
Z,a,c,h,a,r,y, ,Z,a,n,e
D,a,v,i,d, ,W,i,l,l,i,a,m,s,o,n
J,e,f,f, ,W,i,s,e
L,a,r,r,y, ,B,r,i,l,l,i,a,n,t
J,e,n,n,i, ,K,o,n,n,e,r
G,o,l,d,b,e,r,g
J,o,e, ,S,i,b
K,y,l,e, ,K,i,n,a,n,e
R,o,m,a,n,y, ,M,a,l,c,o
B,e,n, ,R,a,d,f,o,r,d
M,i,k,e, ,L,e,a,v,i,t,t
T,i,m, ,B,u,r,n,e,t,t
D,r, ,J,u,d,s,o,n, ,B,r,e,w,e,r
K,e,n, ,W,i,l,c,o,x
L,a,h,n,a, ,T,u,r,n,e,r
S,t,a,n,l,e,y, ,K,r,i,p,p,n,e,r, ,R,e,t,u,r,n,s,!
T,h,e, ,L,o,s,t, ,G,u,e,s,t
R,a,y, ,R,i,c,e
M,a,r,t,i,n, ,M,o,r,r,o,w
B,i,l,l, ,G,o,l,d,b,e,r,g
G, ,R,e,i,l,l,y
M,i,k,e, ,S,c,h,m,i,d,t
a,n,o,n,y,m,o,u,s, ,d,e,f,e,n,s,e, ,c,o,n,t,r,a,c,t,o,r,s
C,o,n,n,o,r, ,M,c,s,p,a,d,d,e,n
D,a,n,i,e,l, ,f,r,o,m, ,a, ,h,o,t,e,l, ,i,n, ,D,C
G,o,i,n,g, ,V,i,r,a,l
W,e,n,d,y, ,L,i,e,b,m,a,n
N,.,O,.,R,.,E,.
F,o,r,m,e,r, ,V,i,c,e, ,P,r,e,s,i,d,e,n,t, ,J,o,e, ,B,i,d,e,n
G,i,n,o, ,C,o,n,f,o,r,t,i
J,a,s,o,n, ,S,u,d,e,i,k,i,s
J,o,n, ,A,l,p,e,r,t
V,a,n,e,s,s,a, ,J,o,h,n,s,t,o,n
D,a,n, ,D,o,t,y
M,i,t,t, ,R,o,m,n,e,y
J,e,s,s,e, ,L,e,e, ,P,e,t,e,r,s,o,n
N,i,m,a, ,G,h,o,l,a,m,i,p,o,u,r
R,a,h,e,e,m, ,K,a,s,s,a,m
H,e,a,t,h,e,r, ,T,h,o,m,s,o,n
D,a,n,n,y, ,C,h,a,u
T,O,M,A, ,1,6, ,J,a,i,s,a,l,m,e,r
V,o,n, ,D,e,c,a,r,l,o
S,a,m, ,T,r,i,p,o,l,i
K,e,v,i,n, ,H,a,r,t,z
t,h,e, ,h,e,a,d, ,c,o,a,c,h
M,o,o,k,i,e, ,B,l,a,i,k,l,o,c,k
Z,a,i,n,a,b, ,J,o,h,n,s,o,n
P,a,t
M,a,n,i,l,a, ,L,u,z,o,n
D,r,., ,L,i,s,a, ,S,t,r,o,h,m,a,n
R,i,t,c,h, ,S,h,y,d,n,e,r
H,i,s, ,P,u,r,p,l,e, ,M,a,j,e,s,t,y
T,h,o,m,a,s, ,M,o,o,r,e
D,a,n, ,N,a,t,u,r,m,a,n
J,e,r,e,m,y, ,S,c,i,p,p,i,o
J,o,n, ,M,u,e,l,l,e,r
M,a,t,e,s, ,O,f, ,S,t,a,t,e
D,a,n, ,S,e,n,o,r
T,o,b,e,y, ,M,a,g,u,i,r,e
L,i,n,-,M,a,n,u,e,l, ,M,i,r,a,n,d,a
H,o,l,l,y, ,P,r,a,z,o,f,f
T,i,m,o,t,h,y, ,T,a,y,l,o,r
M,a,r,k, ,R,a,s,t,a
T,i,m, ,S,t,e,e,l,e
G,i,d,e,o,n, ,G,l,i,c,k
C,i,n,d,y, ,M,e,s,t,o,n
R,u,b,e,n, ,R,i,v,e,r,a
B,l,o,o,d,y, ,G,a,u,z,e
H,e,a,t,e,d, ,T,r,a,n,s,g,e,n,d,e,r, ,v,s, ,L,e,s,b,i,a,n, ,D,e,b,a,t,e
R,i,c,o, ,R,e,c,k,l,e,z,z
C,o,r,n,e,l,l, ,R,e,i,d
A,n,d,e,r,s, ,f,r,o,m, ,W,o,r,k,a,h,o,l,i,c,s
A,n,n,e, ,A,p,p,l,e,b,a,u,m
S,u,m,m,i,t, ,S,e,r,i,e,s, ,F,o,u,n,d,e,r, ,E,l,l,i,o,t,t, ,B,i,s,n,o,w
J,o,n,a,t,h,a,n, ,S,t,e,i,n,b,e,r,g
P,e,r,i
D,a,v,i,d, ,S,i,m,o,n
J,e,f,f, ,G,o,l,d,b,l,u,m
J,o,h,n, ,N,O,r,r,i,s
R,O,M,A, ,1,7
P,a,u,l, ,M,o,r,r,i,s,s,e,y
A, ,P,r,i,e,s,t
S,e,n, ,D,o,g
J,a,m,e,s, ,R,h,o,d,e,s
C,e,s,a,r, ,H,i,d,a,l,g,o
R,e,p,., ,R,o, ,K,h,a,n,n,a
D,a,n,e, ,D,e,H,a,a,n
A,a,r,o,n, ,B,l,e,y,a,e,r,t
L,u,i,s,a, ,D,i,e,z
D,r,., ,S,h,a,n,e, ,S,n,y,d,e,r
m,e,n,t,a,l,i,s,t, ,B,a,n,a,c,h,e,k
P,h,i,l, ,B,u,r,g,e,r,s
D,a,n, ,V,a,n, ,K,i,r,k
I,a,n, ,M,c,S,h,a,n,e
J,o,n,T,r,o,n
S,a,l,l,y, ,H,o,g,s,h,e,a,d
A,l,o,e, ,B,l,a,c,c
C,a,r,o,l, ,K,a,n,e
S,h,o,o,t,e,r, ,J,e,n,n,i,n,g,s
D,r,., ,G,a,b,o,r, ,M,a,t,e
A,n,d, ,S,e,a,n, ,H,e,n,n,e,s,s,e,y
T,o,m, ,K,e,n,n,y
C,h,r,i,s, ,C,h,a,r,p,e,n,t,i,e,r
R,a,v,e,n, ,F,e,l,i,x
J,a,m,i,e, ,K,a,l,v,e,n
R,i,c,h,a,r,d, ,S,p,e,i,g,h,t, ,J,r,.
M,a,t,t, ,D,i,l,l,a,h,u,n,t,y
V,a,n,n, ,N,e,w,k,i,r,k
S,a,m, ,A,m,i,c,k
A,l,e,x, ,K,a,y,h,a,r,t
A,l,e,x,a, ,v,o,n, ,T,o,b,e,l
A,b,d,u,l,l,a,h, ,A,l,-,B,a,h,r,a,n,i
M,o,r,t,e,n, ,J,e,r,v,e,n
F,a,r, ,E,a,s,t, ,M,o,v,e,m,e,n,t
L,e,n,n,y, ,M,a,r,c,u,s
G,l,o,r,i,a
C,l,i,f,f, ,B,l,e,s,z,i,n,s,k,i
M,o,l,l,e,n,a, ,W,i,l,l,i,a,m,s
O,l,i,v,e,r, ,P,r,o,u,d,l,o,c,k
B,e,t,o, ,P,e,r,e,z
P,a,y,m,a,n, ,B,e,n,z
J,a,m,a,l, ,E,d,w,a,r,d,s
N,a,t,e, ,B,o,y,e,r
V,o,o,d,o,o
M,a,r,k, ,F,l,a,n,a,g,a,n
M,i,c,k,e,y, ,A,v,a,l,o,n
M,a,t,t,s,t,r,o,n,a,u,t,!
W,o,r,k, ,I,t, ,O,u,t
R,o,s,e,a,n,n,e, ,B,a,r,r
F,a,i,r,b,a,n,k,s, ,C,o,r,r,e,c,t,i,o,n,a,l, ,C,e,n,t,e,r
C,r,o,w,d,e,r, ,H,a,t,e,s, ,S,t,a,r, ,W,a,r,s
N,i,c,o,l,e, ,G,a,l,l,a,n,d
U,F,C, ,C,h,a,m,p, ,T,y,r,o,n, ,W,o,o,d,l,e,y
S,t,e,v,e, ,S,c,h,m,i,d,t
V,I,D,E,O
T,i,m, ,B,a,r,n,e,s
Y,o, ,G,o,t,t,i
N,e,e,l, ,K,o,l,h,a,t,k,a,r
D,i,a,n,e, ,R,a,v,i,t,c,h
T,o,r,n,a,d,o, ,O,f, ,T,e,n,s,i,o,n
R,y,a,n, ,B,l,a,i,r
D,i,n, ,T,h,o,m,a,s
P,e,t,e, ,B,u,t,t,i,g,i,e,g
T,o,m, ,D,e,l,o,n,g,e
T,o,m, ,S,h,a,d,y,a,c
P,a,u,l, ,O,y,e,r
A,n,d,r,e,w, ,W,e,i,b,r,e,c,h,t
S,o, ,Y,o,u, ,W,a,n,n,a, ,S,t,a,r,t, ,A, ,B,u,s,i,n,e,s,s
A,.,J,., ,M,c,K,e,n,z,i,e
B,o,o,s,i,e, ,B,a,d,a,z,z
W,i,l,l,i,a,m, ,M,c,D,o,n,o,u,g,h
C,a,t, ,P,a,c,k,e,r
H,a,l
A,m,y, ,S,c,h,u,m,e,r
